Source path,Class name,Signature,Checksum,Description,Return value description,Technique 1,Technique 2,Technique 3,Inference time (ms),Input tokens,Output tokens
account-service/src/main/java/finos/traderx/accountservice/AccountServiceApplication.java,finos.traderx.accountservice.AccountServiceApplication,"finos.traderx.accountservice.AccountServiceApplication{name=main,return=void,parameters=[java.lang.String[]]}",8276f9f7c76b89dcbfc7df91b1245f18080e6cd6407ee6696ec8f8b4d7204888,,,,,,0,256,0
account-service/src/main/java/finos/traderx/accountservice/OpenApiConfig.java,finos.traderx.accountservice.OpenApiConfig,"finos.traderx.accountservice.OpenApiConfig{name=config,return=io.swagger.v3.oas.models.OpenAPI,parameters=[]}",8a0c3fdd99b18e33e012faa54e06da14d4caec02ac034d1a08fdd5961958eace,,,,,,0,355,0
account-service/src/main/java/finos/traderx/accountservice/controller/AccountController.java,finos.traderx.accountservice.controller.AccountController,"finos.traderx.accountservice.controller.AccountController{name=createAccount,return=org.springframework.http.ResponseEntity<finos.traderx.accountservice.model.Account>,parameters=[finos.traderx.accountservice.model.Account]}",a04d8a96e409638cfff0ee15e3ef49edf63f03d681fa00c533bd1af5a93c5a13,,,,,,0,308,0
account-service/src/main/java/finos/traderx/accountservice/controller/AccountController.java,finos.traderx.accountservice.controller.AccountController,"finos.traderx.accountservice.controller.AccountController{name=updateAccount,return=org.springframework.http.ResponseEntity<finos.traderx.accountservice.model.Account>,parameters=[finos.traderx.accountservice.model.Account]}",fe7a13d39f6dd5acd96599f2a281a12d382cfbf2547fb3030ec670b45751f9a1,,,,,,0,311,0
account-service/src/main/java/finos/traderx/accountservice/controller/AccountController.java,finos.traderx.accountservice.controller.AccountController,"finos.traderx.accountservice.controller.AccountController{name=resourceNotFoundExceptionMapper,return=org.springframework.http.ResponseEntity<java.lang.String>,parameters=[finos.traderx.accountservice.exceptions.ResourceNotFoundException]}",b1052064e89ea97fff7ff4cd9adeb02c5f34c52d0b73160b6128ea4846d69179,,,,,,0,287,0
account-service/src/main/java/finos/traderx/accountservice/controller/AccountController.java,finos.traderx.accountservice.controller.AccountController,"finos.traderx.accountservice.controller.AccountController{name=generalError,return=org.springframework.http.ResponseEntity<java.lang.String>,parameters=[java.lang.Exception]}",1ffd9a7212c571278b297523708bcec71c50e95b3800f20e966461d4d46b4aae,,,,,,0,273,0
account-service/src/main/java/finos/traderx/accountservice/controller/AccountUserController.java,finos.traderx.accountservice.controller.AccountUserController,"finos.traderx.accountservice.controller.AccountUserController{name=createAccountUser,return=org.springframework.http.ResponseEntity<finos.traderx.accountservice.model.AccountUser>,parameters=[finos.traderx.accountservice.model.AccountUser]}",a5b0df911d44227308d92cc5ba929b0cd5ccac130e05cbe7f7b6b0719484e9de,,,,,,0,360,0
account-service/src/main/java/finos/traderx/accountservice/controller/AccountUserController.java,finos.traderx.accountservice.controller.AccountUserController,"finos.traderx.accountservice.controller.AccountUserController{name=updateAccountUser,return=org.springframework.http.ResponseEntity<finos.traderx.accountservice.model.AccountUser>,parameters=[finos.traderx.accountservice.model.AccountUser]}",e7c87029c7afc7569e468ce6ac0bc68887bce95d3a43c1fbf7c8e9ae1a622540,,,,,,0,318,0
account-service/src/main/java/finos/traderx/accountservice/controller/AccountUserController.java,finos.traderx.accountservice.controller.AccountUserController,"finos.traderx.accountservice.controller.AccountUserController{name=resourceNotFoundExceptionMapper,return=org.springframework.http.ResponseEntity<java.lang.String>,parameters=[finos.traderx.accountservice.exceptions.ResourceNotFoundException]}",b1052064e89ea97fff7ff4cd9adeb02c5f34c52d0b73160b6128ea4846d69179,,,,,,0,287,0
account-service/src/main/java/finos/traderx/accountservice/controller/AccountUserController.java,finos.traderx.accountservice.controller.AccountUserController,"finos.traderx.accountservice.controller.AccountUserController{name=generalError,return=org.springframework.http.ResponseEntity<java.lang.String>,parameters=[java.lang.Exception]}",1ffd9a7212c571278b297523708bcec71c50e95b3800f20e966461d4d46b4aae,,,,,,0,273,0
account-service/src/main/java/finos/traderx/accountservice/controller/DocsController.java,finos.traderx.accountservice.controller.DocsController,"finos.traderx.accountservice.controller.DocsController{name=index,return=java.lang.String,parameters=[]}",54c49c322fc5ebb2b689bec49477af356467900f3d772f06eaa8a3835791171d,,,,,,0,242,0
account-service/src/main/java/finos/traderx/accountservice/service/AccountService.java,finos.traderx.accountservice.service.AccountService,"finos.traderx.accountservice.service.AccountService{name=upsertAccount,return=finos.traderx.accountservice.model.Account,parameters=[finos.traderx.accountservice.model.Account]}",e5696617b5047531374752049ed4a781dcec82e41da5c8d64dccd688c8eedb74,,,,,,0,270,0
account-service/src/main/java/finos/traderx/accountservice/service/AccountUserService.java,finos.traderx.accountservice.service.AccountUserService,"finos.traderx.accountservice.service.AccountUserService{name=upsertAccountUser,return=finos.traderx.accountservice.model.AccountUser,parameters=[finos.traderx.accountservice.model.AccountUser]}",f8df74f34d6916038e5c3978477bbd95543a3c042595222939a91f91e70352e3,,,,,,0,356,0
position-service/src/main/java/finos/traderx/positionservice/OpenApiConfig.java,finos.traderx.positionservice.OpenApiConfig,"finos.traderx.positionservice.OpenApiConfig{name=config,return=io.swagger.v3.oas.models.OpenAPI,parameters=[]}",ba28d8648da3de0a726f746c25863fba3427577e8a993c7c627c34f3d57cb20c,,,,,,0,356,0
position-service/src/main/java/finos/traderx/positionservice/PositionServiceApplication.java,finos.traderx.positionservice.PositionServiceApplication,"finos.traderx.positionservice.PositionServiceApplication{name=main,return=void,parameters=[java.lang.String[]]}",8e6dcbb86d146c46f427561a0c63495a011a307f619fbc7cacde2ba8733731c1,,,,,,0,256,0
position-service/src/main/java/finos/traderx/positionservice/controller/DocsController.java,finos.traderx.positionservice.controller.DocsController,"finos.traderx.positionservice.controller.DocsController{name=index,return=java.lang.String,parameters=[]}",54c49c322fc5ebb2b689bec49477af356467900f3d772f06eaa8a3835791171d,,,,,,0,242,0
position-service/src/main/java/finos/traderx/positionservice/controller/HealthController.java,finos.traderx.positionservice.controller.HealthController,"finos.traderx.positionservice.controller.HealthController{name=generalError,return=org.springframework.http.ResponseEntity<java.lang.String>,parameters=[java.lang.Exception]}",d2755d04f767d28e29b3e8657966c21edae1f7e6df846f3421624ed3248b1132,,,,,,0,273,0
position-service/src/main/java/finos/traderx/positionservice/controller/PositionController.java,finos.traderx.positionservice.controller.PositionController,"finos.traderx.positionservice.controller.PositionController{name=generalError,return=org.springframework.http.ResponseEntity<java.lang.String>,parameters=[java.lang.Exception]}",d2755d04f767d28e29b3e8657966c21edae1f7e6df846f3421624ed3248b1132,,,,,,0,273,0
position-service/src/main/java/finos/traderx/positionservice/controller/TradeController.java,finos.traderx.positionservice.controller.TradeController,"finos.traderx.positionservice.controller.TradeController{name=generalError,return=org.springframework.http.ResponseEntity<java.lang.String>,parameters=[java.lang.Exception]}",1ffd9a7212c571278b297523708bcec71c50e95b3800f20e966461d4d46b4aae,,,,,,0,273,0
position-service/src/main/java/finos/traderx/positionservice/repository/PositionRepository.java,finos.traderx.positionservice.repository.PositionRepository,"finos.traderx.positionservice.repository.PositionRepository{name=findByAccountId,return=java.util.List<finos.traderx.positionservice.model.Position>,parameters=[java.lang.Integer]}",a8de46ead67e2f8ef352c20144033554a95602048e3b120bd389c49b4522a24b,,,,,,0,238,0
position-service/src/main/java/finos/traderx/positionservice/repository/TradeRepository.java,finos.traderx.positionservice.repository.TradeRepository,"finos.traderx.positionservice.repository.TradeRepository{name=findByAccountId,return=java.util.List<finos.traderx.positionservice.model.Trade>,parameters=[java.lang.Integer]}",e3e015f6a93194f03ca8753d598be920ba8afc884c4f92ab45591804be243496,,,,,,0,239,0
trade-processor/src/main/java/finos/traderx/messaging/Publisher.java,finos.traderx.messaging.Publisher,"finos.traderx.messaging.Publisher{name=publish,return=void,parameters=[Generic{T}]}",6fdf7240ae7e5beb130716c7fd8399833b4fd1b46fb8d4936649c773170e7378,,,,,,0,240,0
trade-processor/src/main/java/finos/traderx/messaging/Publisher.java,finos.traderx.messaging.Publisher,"finos.traderx.messaging.Publisher{name=publish,return=void,parameters=[java.lang.String,Generic{T}]}",5910b89f528fabead48516e131bfc0ecfdafca01261bcc49640efc568e290744,,,,,,0,243,0
trade-processor/src/main/java/finos/traderx/messaging/Publisher.java,finos.traderx.messaging.Publisher,"finos.traderx.messaging.Publisher{name=connect,return=void,parameters=[]}",a0901d18e3eb4f5877ccf80fb77efa1e5c08dfb59026166e132a28d590aa9827,,,,,,0,238,0
trade-processor/src/main/java/finos/traderx/messaging/Publisher.java,finos.traderx.messaging.Publisher,"finos.traderx.messaging.Publisher{name=disconnect,return=void,parameters=[]}",5db22e7dc969f618358ebb97c29bdc3ebcee2a8ea7a71e10b7e37a885b20520d,,,,,,0,238,0
trade-processor/src/main/java/finos/traderx/messaging/Subscriber.java,finos.traderx.messaging.Subscriber,"finos.traderx.messaging.Subscriber{name=subscribe,return=void,parameters=[java.lang.String]}",8403fc6d5ababe6f27fa99098142483f87e5d62ba4e72c5b254fee57118daa04,,,,,,0,240,0
trade-processor/src/main/java/finos/traderx/messaging/Subscriber.java,finos.traderx.messaging.Subscriber,"finos.traderx.messaging.Subscriber{name=unsubscribe,return=void,parameters=[java.lang.String]}",659154eaa2a72f27fed92a728f937c2a4ceb3d7de3ae4b7734a5d494e79cfa47,,,,,,0,240,0
trade-processor/src/main/java/finos/traderx/messaging/Subscriber.java,finos.traderx.messaging.Subscriber,"finos.traderx.messaging.Subscriber{name=onMessage,return=void,parameters=[finos.traderx.messaging.Envelope<Generic{?}>,Generic{T}]}",27b818882c1571308962d234559386dd60930a6554d74dd369f9ed99980bae6a,,,,,,0,249,0
trade-processor/src/main/java/finos/traderx/messaging/Subscriber.java,finos.traderx.messaging.Subscriber,"finos.traderx.messaging.Subscriber{name=connect,return=void,parameters=[]}",a0901d18e3eb4f5877ccf80fb77efa1e5c08dfb59026166e132a28d590aa9827,,,,,,0,238,0
trade-processor/src/main/java/finos/traderx/messaging/Subscriber.java,finos.traderx.messaging.Subscriber,"finos.traderx.messaging.Subscriber{name=disconnect,return=void,parameters=[]}",5db22e7dc969f618358ebb97c29bdc3ebcee2a8ea7a71e10b7e37a885b20520d,,,,,,0,238,0
trade-processor/src/main/java/finos/traderx/messaging/socketio/SocketIOJSONPublisher.java,finos.traderx.messaging.socketio.SocketIOJSONPublisher,"finos.traderx.messaging.socketio.SocketIOJSONPublisher{name=publish,return=void,parameters=[Generic{T}]}",6b17ff8875e02ace82c5a6bc7a12812308799f937360ea1ccd6f3c872505d635,,,,,,0,249,0
trade-processor/src/main/java/finos/traderx/messaging/socketio/SocketIOJSONPublisher.java,finos.traderx.messaging.socketio.SocketIOJSONPublisher,"finos.traderx.messaging.socketio.SocketIOJSONPublisher{name=publish,return=void,parameters=[java.lang.String,Generic{T}]}",5d4a3bbb33bba96563395b4c0e32ea04d371b4a0122d61d55cfc788f976f67ed,,,,,,0,412,0
trade-processor/src/main/java/finos/traderx/messaging/socketio/SocketIOJSONPublisher.java,finos.traderx.messaging.socketio.SocketIOJSONPublisher,"finos.traderx.messaging.socketio.SocketIOJSONPublisher{name=disconnect,return=void,parameters=[]}",05c3c1acd3a8cca25e560345b12e2bf695f0858d58ec297fad6eb38e100037b9,,,,,,0,265,0
trade-processor/src/main/java/finos/traderx/messaging/socketio/SocketIOJSONPublisher.java,finos.traderx.messaging.socketio.SocketIOJSONPublisher,"finos.traderx.messaging.socketio.SocketIOJSONPublisher{name=connect,return=void,parameters=[]}",ffd0425b2b98624ddb5810f31c47c7bad8b87fec6453a4fc3c60afacbb46d4a0,,,,,,0,300,0
trade-processor/src/main/java/finos/traderx/messaging/socketio/SocketIOJSONPublisher.java,finos.traderx.messaging.socketio.SocketIOJSONPublisher,"finos.traderx.messaging.socketio.SocketIOJSONPublisher{name=internalConnect,return=io.socket.client.Socket,parameters=[java.net.URI]}",39cc61f812a437e81042a5bae110eee0fec3777090a6d4f3798de17dfff111f6,,,,,,0,251,0
trade-processor/src/main/java/finos/traderx/messaging/socketio/SocketIOJSONPublisher.java,finos.traderx.messaging.socketio.SocketIOJSONPublisher,"finos.traderx.messaging.socketio.SocketIOJSONPublisher{name=afterPropertiesSet,return=void,parameters=[]}",dcbbe43b41e148061d2e8bfea5094799e9748cc639215bb10d312d21b8fb3b60,,,,,,0,444,0
